                t0=0.00    t1=1.00    t2=2.00    t3=3.00    t4=4.00    t5=5.00    t6=6.00    t7=7.00    t8=8.00    t9=9.00    t10=10.00    t11=11.00    t12=12.00    t13=13.00    t14=14.00    t15=15.00    t16=16.00    t17=17.00    t18=18.00    t19=19.00    t20=20.00    
X0=0.00000      1.00000    0.54030   -0.41615   -0.98999   -0.65364    0.28366    0.96017    0.75390   -0.14550   -0.91113   -0.83907      0.00443      0.84385      0.90745      0.13674     -0.75969     -0.95766     -0.27516      0.66032      0.98870      0.40808     
X1=0.10000      0.99000    0.43008   -0.26438   -0.92331   -0.60891    0.34641    0.78714    0.71369   -0.05950   -0.89633   -0.67659      0.01382      0.69114      0.91912      0.09338     -0.69728     -0.76207     -0.32379      0.61988      0.95390      0.28936     
X2=0.20000      0.96000    0.31522   -0.11713   -0.86088   -0.56592    0.40904    0.61271    0.67080    0.02207   -0.88611   -0.51606      0.02244      0.53762      0.92886      0.04546     -0.63936     -0.56913     -0.37382      0.57930      0.91742      0.16648     
X3=0.30000      0.91000    0.19712    0.02687   -0.80269   -0.52466    0.47162    0.43630    0.62555    0.09952   -0.88067   -0.35710      0.02991      0.38289      0.93708     -0.00717     -0.58564     -0.37853     -0.42586      0.53860      0.87930      0.03922     
X4=0.40000      0.84000    0.07445    0.16784   -0.74911   -0.48521    0.53418    0.25729    0.57828    0.17315   -0.88018   -0.19933      0.03584      0.22654      0.94418     -0.06466     -0.53587     -0.18990     -0.48052      0.49781      0.83952     -0.09264     
X5=0.50000      0.75000   -0.05317    0.30634   -0.70040   -0.44763    0.59679    0.07509    0.52931    0.24327   -0.88482   -0.04236      0.03986      0.06817      0.95058     -0.12717     -0.48978     -0.00291     -0.53840      0.45697      0.79810     -0.22933     
X6=0.60000      0.64000   -0.18438    0.44358   -0.65657   -0.41188    0.65952   -0.11091    0.47897    0.31017   -0.89478    0.11421      0.04159     -0.09263      0.95668     -0.19488     -0.44710      0.18279     -0.60013      0.41612      0.75503     -0.37109     
X7=0.70000      0.51000   -0.32069    0.57969   -0.61808   -0.37804    0.72242   -0.30134    0.42761    0.37415   -0.91026    0.27081      0.04064     -0.25626      0.96291     -0.26796     -0.40754      0.36757     -0.66631      0.37531      0.71031     -0.51817     
X8=0.80000      0.36000   -0.46186    0.71544   -0.58511   -0.34611    0.78556   -0.49683    0.37557    0.43550   -0.93144    0.42786      0.03661     -0.42314      0.96969     -0.34662     -0.37084      0.55179     -0.73757      0.33460      0.66392     -0.67081     
X9=0.90000      0.19000   -0.60671    0.85196   -0.55778   -0.31604    0.84906   -0.69802    0.32321    0.49450   -0.95854    0.58580      0.02910     -0.59367      0.97744     -0.43108     -0.33669      0.73582     -0.81456      0.29408      0.61586     -0.82929     
X10=1.00000     0.00000   -0.75680    0.98936   -0.53657   -0.28790    0.91295   -0.90558    0.27091    0.55143   -0.99178    0.74511      0.01770     -0.76825      0.98663     -0.52155     -0.30481      0.92003     -0.89793      0.25382      0.56611     -0.99389     
