                t0=0.00    t1=1.00    t2=2.00    t3=3.00    t4=4.00    t5=5.00    t6=6.00    t7=7.00    t8=8.00    t9=9.00    t10=10.00    t11=11.00    t12=12.00    t13=13.00    t14=14.00    t15=15.00    t16=16.00    t17=17.00    t18=18.00    t19=19.00    t20=20.00    t21=21.00    t22=22.00    t23=23.00    t24=24.00    t25=25.00    t26=26.00    t27=27.00    t28=28.00    t29=29.00    t30=30.00    t31=31.00    t32=32.00    t33=33.00    t34=34.00    t35=35.00    t36=36.00    t37=37.00    t38=38.00    t39=39.00    t40=40.00    t41=41.00    t42=42.00    t43=43.00    t44=44.00    t45=45.00    t46=46.00    t47=47.00    t48=48.00    t49=49.00    t50=50.00    
X0=0.00000      1.00000    0.54030   -0.41615   -0.98999   -0.65364    0.28366    0.96017    0.75390   -0.14550   -0.91113   -0.83907      0.00443      0.84385      0.90745      0.13674     -0.75969     -0.95766     -0.27516      0.66032      0.98870      0.40808     -0.54773     -0.99996     -0.53283      0.42418      0.99120      0.64692     -0.29214     -0.96261     -0.74806      0.15425      0.91474      0.83422     -0.01328     -0.84857     -0.90369     -0.12796      0.76541      0.95507      0.26664     -0.66694     -0.98734     -0.39999      0.55511      0.99984      0.52532     -0.43218     -0.99234     -0.64014      0.30059      0.96497     
X1=0.10000      0.99000    0.43008   -0.26438   -0.92331   -0.60891    0.34641    0.78714    0.71369   -0.05950   -0.89633   -0.67659      0.01382      0.69114      0.91912      0.09338     -0.69728     -0.76207     -0.32379      0.61988      0.95390      0.28936     -0.40837     -0.87928     -0.54611      0.47765      0.85438      0.56307     -0.15740     -0.93215     -0.64406      0.20030      0.73579      0.82792      0.01303     -0.82210     -0.71055     -0.15274      0.65949      0.95759      0.17496     -0.56464     -0.81712     -0.44618      0.56831      0.91731      0.41074     -0.28032     -0.91974     -0.60308      0.36392      0.79474     
X2=0.20000      0.96000    0.31522   -0.11713   -0.86088   -0.56592    0.40904    0.61271    0.67080    0.02207   -0.88611   -0.51606      0.02244      0.53762      0.92886      0.04546     -0.63936     -0.56913     -0.37382      0.57930      0.91742      0.16648     -0.27326     -0.76228     -0.56105      0.53118      0.71599      0.47599     -0.02697     -0.90612     -0.54183      0.24596      0.55567      0.81934      0.03479     -0.80023     -0.51963     -0.17862      0.55310      0.95836      0.07883     -0.46670     -0.65004     -0.49395      0.58154      0.83316      0.29240     -0.13269     -0.85125     -0.56773      0.42716      0.62309     
X3=0.30000      0.91000    0.19712    0.02687   -0.80269   -0.52466    0.47162    0.43630    0.62555    0.09952   -0.88067   -0.35710      0.02991      0.38289      0.93708     -0.00717     -0.58564     -0.37853     -0.42586      0.53860      0.87930      0.03922     -0.14175     -0.64901     -0.57799      0.58494      0.57557      0.38581      0.09970     -0.88480     -0.44120      0.29109      0.37383      0.80892      0.05210     -0.78293     -0.33050     -0.20614      0.44604      0.95764     -0.02201     -0.37262     -0.48591     -0.54383      0.59496      0.74713      0.17020      0.01138     -0.78705     -0.53416      0.49039      0.44942     
X4=0.40000      0.84000    0.07445    0.16784   -0.74911   -0.48521    0.53418    0.25729    0.57828    0.17315   -0.88018   -0.19933      0.03584      0.22654      0.94418     -0.06466     -0.53587     -0.18990     -0.48052      0.49781      0.83952     -0.09264     -0.01319     -0.53950     -0.59726      0.63911      0.43263      0.29266      0.22316     -0.86844     -0.34196      0.33555      0.18970      0.79709      0.06501     -0.77023     -0.14275     -0.23586      0.33811      0.95570     -0.12779     -0.28192     -0.32457     -0.59635      0.60873      0.65898      0.04406      0.15255     -0.72735     -0.50247      0.55368      0.27316     
X5=0.50000      0.75000   -0.05317    0.30634   -0.70040   -0.44763    0.59679    0.07509    0.52931    0.24327   -0.88482   -0.04236      0.03986      0.06817      0.95058     -0.12717     -0.48978     -0.00291     -0.53840      0.45697      0.79810     -0.22933      0.11307     -0.43380     -0.61916      0.69387      0.28666      0.19666      0.34395     -0.85730     -0.24390      0.37921      0.00270      0.78427      0.07360     -0.76212      0.04407     -0.26831      0.22912      0.95280     -0.23878     -0.19410     -0.16583     -0.65205      0.62301      0.56846     -0.08612      0.29149     -0.67235     -0.47271      0.61712      0.09369     
X6=0.60000      0.64000   -0.18438    0.44358   -0.65657   -0.41188    0.65952   -0.11091    0.47897    0.31017   -0.89478    0.11421      0.04159     -0.09263      0.95668     -0.19488     -0.44710      0.18279     -0.60013      0.41612      0.75503     -0.37109      0.23768     -0.33198     -0.64403      0.74941      0.13718      0.09793      0.46260     -0.85167     -0.14681      0.42192     -0.18774      0.77092      0.07790     -0.75859      0.23041     -0.30403      0.11887      0.94921     -0.35526     -0.10867     -0.00953     -0.71147      0.63798      0.47530     -0.22043      0.42888     -0.62226     -0.44496      0.68077     -0.08958     
X7=0.70000      0.51000   -0.32069    0.57969   -0.61808   -0.37804    0.72242   -0.30134    0.42761    0.37415   -0.91026    0.27081      0.04064     -0.25626      0.96291     -0.26796     -0.40754      0.36757     -0.66631      0.37531      0.71031     -0.51817      0.36132     -0.23407     -0.67219      0.80593     -0.01633     -0.00339      0.57967     -0.85182     -0.05046      0.46356     -0.38220      0.75745      0.07798     -0.75966      0.41672     -0.34360      0.00717      0.94519     -0.47749     -0.02512      0.14453     -0.77515      0.65383      0.37924     -0.35898      0.56539     -0.57729     -0.41926      0.74474     -0.27728     
X8=0.80000      0.36000   -0.46186    0.71544   -0.58511   -0.34611    0.78556   -0.49683    0.37557    0.43550   -0.93144    0.42786      0.03661     -0.42314      0.96969     -0.34662     -0.37084      0.55179     -0.73757      0.33460      0.66392     -0.67081      0.48465     -0.14016     -0.70393      0.86365     -0.17439     -0.10718      0.69569     -0.85806      0.04540      0.50397     -0.58128      0.74434      0.07385     -0.76532      0.60347     -0.38757     -0.10614      0.94103     -0.60578      0.05706      0.29651     -0.84362      0.67074      0.27999     -0.50188      0.70171     -0.53769     -0.39566      0.80912     -0.47004     
X9=0.90000      0.19000   -0.60671    0.85196   -0.55778   -0.31604    0.84906   -0.69802    0.32321    0.49450   -0.95854    0.58580      0.02910     -0.59367      0.97744     -0.43108     -0.33669      0.73582     -0.81456      0.29408      0.61586     -0.82929      0.60837     -0.05031     -0.73959      0.92279     -0.33755     -0.21331      0.81123     -0.87067      0.14102      0.54304     -0.78557      0.73204      0.06555     -0.77557      0.79115     -0.43651     -0.22126      0.93698     -0.74043      0.13839      0.44658     -0.91744      0.68894      0.17726     -0.64923      0.83854     -0.50368     -0.37421      0.87402     -0.66849     
